name,duration,duration_stdev,duration_median,duration_min,duration_max,memory,memory_stdev,memory_median,memory_min,memory_max,num_warnings,num_warnings_stdev,num_warnings_median,num_warnings_min,num_warnings_max,context_switches,context_switches_stdev,migrations,migrations_stdev,page_faults,page_faults_stdev,instructions,instructions_stdev,branches,branches_stdev,branch_misses,branch_misses_stdev,branch_miss_rate,branch_miss_rate_stdev,l1_loads,l1_loads_stdev,l1_load_misses,l1_load_misses_stdev,l1_miss_rate,l1_miss_rate_stdev,llc_loads,llc_loads_stdev,llc_load_misses,llc_load_misses_stdev,llc_miss_rate,llc_miss_rate_stdev
OmpSCR-fft,93.8,21.370397224923558,90.0,60,150,45637.2,2336.9389013346986,43798.0,43392,50156,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,2866149682.34,826192775.9598607,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
OmpSCR-fft6,722,71.57128599928771,690.0,630,910,491536.88,2383.6401988452494,492082.0,484124,494784,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,153460166814.58,4283346179.8842177,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB001,73.4,16.23928217977278,70.0,40,110,44675.76,1545.1188523071944,44740.0,40504,47188,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1929858732.06,829946035.0224975,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB002,79,18.098370656171323,80.0,40,120,43851.2,2235.4174700279414,44106.0,40300,47300,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1930099375.22,796286765.1773208,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB003,85,20.328927815368154,85.0,40,150,40893.92,1022.0958827181469,40638.0,40416,45580,0.12,0.32826072265931594,0.0,0,1,0,0.0,0,0.0,0,0.0,2161210360.24,916665494.7012169,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB004,81.6,18.99086783758156,80.0,40,120,40536,176.3780725878246,40512.0,40176,41028,0.1,0.30304576336566325,0.0,0,1,0,0.0,0,0.0,0,0.0,1943296661.64,851791262.4400394,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB005,82.2,20.433066438536155,80.0,40,140,40645.04,120.50454475297788,40638.0,40320,40904,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1924549396.22,838641260.4245508,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB006,79.8,14.775876644458187,80.0,40,120,42325.52,2345.2638356431266,40748.0,40464,47460,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1994797964.28,703458889.5402011,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB007,76.6,20.06214833756264,70.0,40,160,44127.2,2200.4602116050955,44736.0,40532,47344,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1921036360.24,779515806.5880135,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB008,83.4,15.065841889411116,80.0,60,140,40654.88,87.12005322237462,40648.0,40456,40848,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1958768232.68,536794648.4504998,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB009,98.2,28.40594936247816,100.0,60,230,40972.96,760.4997540554285,40992.0,40332,45852,0.6,0.4948716593053935,1.0,0,1,0,0.0,0,0.0,0,0.0,3198036525.2,1785797436.0715883,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB010,97.4,20.183848867399917,100.0,40,150,41170.8,1423.9317227382808,40888.0,40372,47932,0.48,0.5046720495044484,0.0,0,1,0,0.0,0,0.0,0,0.0,2900004172.76,1403329848.2026975,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB011,108,21.38089935299395,105.0,70,170,41258.32,1165.4044658313233,41046.0,40364,46196,0.96,0.6047431568147635,1.0,0,2,0,0.0,0,0.0,0,0.0,3699287387.64,1370560174.367295,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB012,99.2,26.637398904700948,90.0,50,190,41099.04,1281.8686767722331,40882.0,40320,47344,0.78,0.6788345354580985,1.0,0,2,0,0.0,0,0.0,0,0.0,3205844117.74,1797848629.4057834,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB013,85.4,18.758399479177537,80.0,50,140,41130.72,1662.7920340714375,40564.0,40300,47040,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,2172130210.08,771473411.9873753,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB014,83.6,18.709377764279886,80.0,50,140,41066,925.5475158421812,40860.0,40600,46504,0.06,0.2398979374820952,0.0,0,1,0,0.0,0,0.0,0,0.0,1953593054.34,721303582.173792,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB015,91,16.812288994199744,90.0,70,130,40792.32,188.6455958042131,40772.0,40368,41328,0.04,0.1979486637221574,0.0,0,1,0,0.0,0,0.0,0,0.0,2312649529.66,985127866.3109661,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB016,104.8,23.40765616944462,100.0,60,180,41049.52,450.367570514828,41060.0,40432,43868,1.02,0.47337261502231115,1.0,0,2,0,0.0,0,0.0,0,0.0,3683861359.02,1460313944.7813694,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB017,113.2,33.59057204949396,100.0,60,220,41041.68,182.7662095326671,41082.0,40392,41312,1.08,0.48822878544671605,1.0,0,2,0,0.0,0,0.0,0,0.0,4132037466.28,2073561820.5099542,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB018,122,24.660966430902956,120.0,90,220,41203.12,143.75328070790493,41200.0,40920,41464,8,1.6659862556700857,8.0,5,13,0,0.0,0,0.0,0,0.0,4638933071.62,1570931576.6424844,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB019,129.6,34.461454361861946,120.0,100,250,42333.76,2099.2484812719167,41286.0,40952,47820,10.88,1.9860739653694592,11.0,7,16,0,0.0,0,0.0,0,0.0,5466155778.12,1956933150.407895,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
