name,duration,duration_stdev,duration_median,duration_min,duration_max,memory,memory_stdev,memory_median,memory_min,memory_max,num_warnings,num_warnings_stdev,num_warnings_median,num_warnings_min,num_warnings_max,context_switches,context_switches_stdev,migrations,migrations_stdev,page_faults,page_faults_stdev,instructions,instructions_stdev,branches,branches_stdev,branch_misses,branch_misses_stdev,branch_miss_rate,branch_miss_rate_stdev,l1_loads,l1_loads_stdev,l1_load_misses,l1_load_misses_stdev,l1_miss_rate,l1_miss_rate_stdev,llc_loads,llc_loads_stdev,llc_load_misses,llc_load_misses_stdev,llc_miss_rate,llc_miss_rate_stdev
OmpSCR-fft,95,31.710495984067414,90.0,70,170,44430,1199.6758821541018,44048.0,43848,47816,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,2724783378.4,699220220.4108351,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
OmpSCR-fft6,797,32.676869155073256,810.0,740,830,486612.4,624.0696542320684,486660.0,485772,487520,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,161712015655,2307343684.5304284,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB001,114,18.37873166945363,110.0,100,160,41148.4,165.9177841917831,41130.0,40916,41396,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,3801519161.4,1068574068.5732486,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB002,108,18.135294011647257,110.0,90,150,41190.4,188.45052401094563,41210.0,40856,41496,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,3344467355.6,1032419291.5399143,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB003,102,11.352924243950934,105.0,90,120,41148,127.13597270464231,41110.0,40992,41436,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,3882884840.9,708743061.4256617,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB004,103,11.595018087284059,110.0,90,120,41050.4,176.44589979808416,41060.0,40796,41356,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,4130376388.1,919083080.8805116,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB005,94,20.11080417199781,85.0,80,140,41190.4,125.1800481084923,41198.0,41004,41408,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,3567786624.1,1281129264.0884466,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB006,91,9.944289260117532,90.0,80,110,41238.8,125.26310088946562,41214.0,41084,41500,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,3581626318.8,885206688.4017842,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB007,96,10.749676997731399,100.0,80,110,41194.4,220.4335122737315,41132.0,41028,41688,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,3976334378.3,1507364209.457572,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB008,76,21.70509412813294,70.0,50,130,40630,73.64177558363942,40610.0,40500,40756,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1867765544.9,1197454824.2201722,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB009,114,21.186998109427606,115.0,90,160,41154.8,163.0056577068552,41098.0,40956,41424,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,4175891583.7,756210659.0036203,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB010,115,18.408935028645434,115.0,80,140,41130.8,127.06673662117696,41148.0,40972,41412,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,4146496420.4,1100739828.6144168,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB011,107,13.374935098492585,105.0,90,130,41215.6,93.39902450121082,41198.0,41072,41392,2,0.0,2.0,2,2,0,0.0,0,0.0,0,0.0,3900096434.6,971953918.3379223,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB012,118,19.888578520235065,120.0,90,150,41128.8,104.04785223903258,41108.0,40964,41336,2,0.0,2.0,2,2,0,0.0,0,0.0,0,0.0,4950523807.6,1515701666.5509908,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB013,90,27.888667551135853,80.0,50,130,41110,1556.7524601625726,40580.0,40408,45504,0.1,0.31622776601683794,0.0,0,1,0,0.0,0,0.0,0,0.0,2352541295.6,1280401618.5112693,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB014,121,22.335820757001272,125.0,90,160,41407.2,120.8385516114603,41410.0,41220,41580,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,4148052896.9,1460429240.9707792,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB015,105,9.7182531580755,110.0,90,120,42576,2568.1799867697055,41418.0,41144,48032,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,3303525102.7,575930754.6464187,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB016,109,17.919573407620817,105.0,90,140,44870.4,978.7887298992453,44462.0,43236,46304,2,0.0,2.0,2,2,0,0.0,0,0.0,0,0.0,4207423841.6,1095052294.566113,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
