name,duration,duration_stdev,duration_median,duration_min,duration_max,memory,memory_stdev,memory_median,memory_min,memory_max,num_warnings,num_warnings_stdev,num_warnings_median,num_warnings_min,num_warnings_max,context_switches,context_switches_stdev,migrations,migrations_stdev,page_faults,page_faults_stdev,instructions,instructions_stdev,branches,branches_stdev,branch_misses,branch_misses_stdev,branch_miss_rate,branch_miss_rate_stdev,l1_loads,l1_loads_stdev,l1_load_misses,l1_load_misses_stdev,l1_miss_rate,l1_miss_rate_stdev,llc_loads,llc_loads_stdev,llc_load_misses,llc_load_misses_stdev,llc_miss_rate,llc_miss_rate_stdev
OmpSCR-fft,111,25.144029554194812,105.0,80,170,44245.6,133.6955081103658,44218.0,44072,44432,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,3367729001.1,842027273.064627,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
OmpSCR-fft6,818,37.653389990514505,825.0,740,860,487101.2,1422.4911481856984,487526.0,484756,488876,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,166049302900.5,3970083788.5981984,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB001,124,26.74987019698517,115.0,90,170,41134.4,135.3737213954187,41102.0,40948,41344,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,4531014150.8,1343863958.6644993,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB002,118,23.475755815545345,110.0,90,160,41185.6,161.17568054765584,41204.0,40876,41380,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,3989028642.2,1469319408.6811442,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB003,104,16.46545204697129,100.0,90,130,41102,90.9456492148531,41100.0,40976,41280,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,3449598303.6,743286881.2440025,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB004,120,35.59026084010437,110.0,90,190,41138.8,169.20257418582943,41160.0,40872,41348,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,4462040985.4,2092136827.420783,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB005,95,13.5400640077266,90.0,80,130,41235.2,118.38618538025831,41198.0,41088,41424,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,3866465550.7,1340525441.7143476,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB006,102,32.93090409394258,90.0,80,190,41250.8,92.45395250249355,41252.0,41068,41404,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,4138794879.9,1670453135.4490576,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB007,101,16.6332999331662,100.0,80,130,41239.2,121.92237967931347,41264.0,41036,41372,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,3059326295.4,506734336.12208235,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB008,71,11.972189997378647,70.0,50,90,40788.8,89.43874377968918,40796.0,40632,40896,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1620263390.4,794107945.4980602,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
