name,duration,duration_stdev,duration_median,duration_min,duration_max,memory,memory_stdev,memory_median,memory_min,memory_max,num_warnings,num_warnings_stdev,num_warnings_median,num_warnings_min,num_warnings_max,context_switches,context_switches_stdev,migrations,migrations_stdev,page_faults,page_faults_stdev,instructions,instructions_stdev,branches,branches_stdev,branch_misses,branch_misses_stdev,branch_miss_rate,branch_miss_rate_stdev,l1_loads,l1_loads_stdev,l1_load_misses,l1_load_misses_stdev,l1_miss_rate,l1_miss_rate_stdev,llc_loads,llc_loads_stdev,llc_load_misses,llc_load_misses_stdev,llc_miss_rate,llc_miss_rate_stdev
OmpSCR-fft,102.8,21.192990755031655,100.0,60,170,47003.76,2750.837487020998,47452.0,43396,53124,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,2806998463.02,924656212.4507961,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
OmpSCR-fft6,789,64.94110361531833,790.0,690,970,489581.92,2244.523892426514,489804.0,484816,493912,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,149668382910.66,3744356756.5379696,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB001,103,19.61361459677997,100.0,70,160,44087.76,2743.418681804414,44462.0,40252,50304,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1871842664.6,751765307.5239369,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB002,94,22.58769757263128,90.0,50,190,43882.08,2313.9200049672754,44558.0,40336,50100,0.02,0.1414213562373095,0.0,0,1,0,0.0,0,0.0,0,0.0,1895164586,1123759742.9038312,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB003,87,21.594594939758533,85.0,50,160,43807.92,2245.275055556009,44592.0,40344,49992,0.1,0.30304576336566325,0.0,0,1,0,0.0,0,0.0,0,0.0,1968623910.36,1084690394.9188118,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB004,89.4,18.88850206353277,90.0,50,140,44658,3160.6426884546177,44558.0,40396,52052,0.04,0.1979486637221574,0.0,0,1,0,0.0,0,0.0,0,0.0,1959401847.26,843594025.7678562,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB005,81.6,18.99086783758156,80.0,40,130,47561.28,2713.8642006540854,47828.0,40552,52320,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1887339573.46,806746892.3860401,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB006,79.6,22.764096328048105,75.0,40,140,47853.84,2303.2082270482747,47802.0,42412,51884,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1717538374.2,760019315.1229544,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB007,83.2,17.77868478411891,80.0,50,130,46250.72,2998.3692373130607,46246.0,40540,51976,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1820939548.24,761546406.6064922,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB008,87,20.127146862293387,80.0,50,160,44114.72,2664.5315937097744,44648.0,40388,50400,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1936387719.88,701697332.175859,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
