name,duration,duration_stdev,duration_median,duration_min,duration_max,memory,memory_stdev,memory_median,memory_min,memory_max,num_warnings,num_warnings_stdev,num_warnings_median,num_warnings_min,num_warnings_max,context_switches,context_switches_stdev,migrations,migrations_stdev,page_faults,page_faults_stdev,instructions,instructions_stdev,branches,branches_stdev,branch_misses,branch_misses_stdev,branch_miss_rate,branch_miss_rate_stdev,l1_loads,l1_loads_stdev,l1_load_misses,l1_load_misses_stdev,l1_miss_rate,l1_miss_rate_stdev,llc_loads,llc_loads_stdev,llc_load_misses,llc_load_misses_stdev,llc_miss_rate,llc_miss_rate_stdev
OmpSCR-fft,90,17.638342073763937,90.0,70,130,45724.8,2337.576941098529,44364.0,44180,49220,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,2780475142.2,653086282.3171077,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
OmpSCR-fft6,791,22.335820757001272,795.0,760,820,487051.2,887.8173986430618,486852.0,485656,488444,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,162703060616,3153807962.673685,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB001,117,25.407785333546006,115.0,90,160,41101.2,103.86401365888636,41116.0,40892,41200,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,3960291317.8,1526577642.5101388,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB002,109,17.28840330651992,110.0,90,150,41408.4,916.0154292732556,41110.0,40932,43984,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,3436860322.6,721922304.722492,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB003,96,8.432740427115679,90.0,90,110,41725.6,2027.9182100535186,41086.0,40936,47492,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,3586064015.4,1035042776.3880916,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB004,101,25.144029554194812,90.0,80,160,41149.6,162.4829563711564,41136.0,40916,41464,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,3536285118.5,1363363316.9958053,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB005,109,20.789954839350234,110.0,80,130,41129.2,91.13701528772793,41142.0,41012,41320,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,3379564386.7,808160180.5355388,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB006,112,22.997584414213787,105.0,90,170,41248,375.2853728978937,41156.0,40952,42268,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,4339379721.9,1275259577.5742705,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB007,107,18.287822299126937,105.0,90,140,41528.8,1107.3183623310667,41218.0,40960,44660,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,3523058180,1207594528.0984113,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB008,71,12.866839377079188,70.0,50,90,41219.6,1454.3903801173115,40754.0,40592,45344,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1503525478.9,740083907.0994931,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB009,112,17.511900715418264,110.0,90,140,41159.2,173.91492172898793,41104.0,40944,41440,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,3927951945.3,1271854951.374451,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB010,103,16.36391694484477,105.0,80,130,41388,1157.8585597750896,41046.0,40796,44660,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,3851854911.5,1224982042.6456733,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB011,99,20.248456731316587,95.0,80,150,41147.2,146.05691432528013,41150.0,40868,41360,2,0.0,2.0,2,2,0,0.0,0,0.0,0,0.0,3790414005.4,1436293747.409459,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB012,97,11.595018087284059,95.0,80,120,41149.6,137.27765861769188,41154.0,40964,41440,2,0.0,2.0,2,2,0,0.0,0,0.0,0,0.0,3420720804.6,755283956.7564946,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB013,95,24.608038433722335,90.0,70,140,40794,118.39294273261768,40756.0,40664,40992,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,2098920563.2,981410774.1614087,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB014,109,18.52925614624973,105.0,80,140,41400,108.1727014238497,41444.0,41220,41504,1.2,0.4216370213557839,1.0,1,2,0,0.0,0,0.0,0,0.0,3572148283.4,1115736151.9331954,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB015,114,10.749676997731399,115.0,90,130,41363.2,127.94165336850492,41366.0,41116,41528,1.1,0.31622776601683794,1.0,1,2,0,0.0,0,0.0,0,0.0,3747039325.4,762622014.8779472,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB016,112,12.292725943057183,115.0,90,130,41179.6,103.51081532327377,41164.0,40984,41392,2.1,0.31622776601683794,2.0,2,3,0,0.0,0,0.0,0,0.0,4006773940.9,735943766.8676074,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB017,111,15.951314818673865,110.0,90,140,41218,192.80617786321636,41184.0,40916,41640,2,0.0,2.0,2,2,0,0.0,0,0.0,0,0.0,3815464298,1081481562.807541,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB018,137,14.944341180973263,135.0,120,170,42373.2,187.26618013464744,42320.0,42120,42700,30,0.0,30.0,30,30,0,0.0,0,0.0,0,0.0,5317706916.2,1511480524.3879585,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB019,232,22.50925735484551,240.0,200,260,43773.6,317.78790970638823,43798.0,43320,44196,83.4,3.717824931626316,83.5,78,90,0,0.0,0,0.0,0,0.0,11132880314.5,2342684392.030458,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB020,121,19.692073983655906,110.0,100,150,42076.8,1335.564533155258,41328.0,40920,44396,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,4888637274.7,1159385280.4500365,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB021,131,22.335820757001272,125.0,100,160,41499.6,221.51358122396618,41422.0,41224,41976,12.5,2.718251071716682,11.5,9,18,0,0.0,0,0.0,0,0.0,4580974859.2,1535794219.7164462,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB022,140,13.333333333333334,135.0,130,170,41630,235.52305855501942,41580.0,41304,41960,15.2,3.22490309931942,16.0,10,19,0,0.0,0,0.0,0,0.0,5489843791.4,785846072.4935398,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB023,108,14.757295747452437,110.0,90,140,41364,741.7408951618856,41180.0,40888,43432,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,4192858976.2,1099076128.4303963,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB024,13,4.83045891539648,10.0,10,20,19160.4,108.44271401169478,19112.0,19012,19320,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,31338076.9,1597.1364270677275,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB025,12,4.216370213557839,10.0,10,20,22317.2,2348.091272123429,23300.0,18976,24724,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,31033358.6,3783.4640271111925,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB026,118,16.865480854231357,120.0,90,140,41115.2,104.76301298115136,41142.0,40904,41252,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,3826563622.2,948038705.8058077,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB027,120,16.99673171197595,120.0,100,150,41170.4,178.24028725291038,41212.0,40804,41404,0.9,0.31622776601683794,1.0,0,1,0,0.0,0,0.0,0,0.0,5300352893.9,1255930956.1508057,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB028,118,15.491933384829668,120.0,100,140,41187.2,152.23140280507172,41192.0,40908,41424,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,4287025986.7,819762948.5661346,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB029,113,14.181364924121764,115.0,90,130,41541.6,1403.9692304320633,41140.0,40840,45500,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,3659074431.2,1028463801.1224185,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB030,114,16.46545204697129,110.0,100,160,43616.4,2793.603137328008,42788.0,40968,47580,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,4410836372.1,1238525104.2376592,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB031,118,16.193277068654826,115.0,90,150,56548.8,2120.543997290423,57074.0,52948,59672,2.1,0.31622776601683794,2.0,2,3,0,0.0,0,0.0,0,0.0,3516560170.1,1261732380.5597112,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
