name,duration,duration_stdev,duration_median,duration_min,duration_max,memory,memory_stdev,memory_median,memory_min,memory_max,num_warnings,num_warnings_stdev,num_warnings_median,num_warnings_min,num_warnings_max,context_switches,context_switches_stdev,migrations,migrations_stdev,page_faults,page_faults_stdev,instructions,instructions_stdev,branches,branches_stdev,branch_misses,branch_misses_stdev,branch_miss_rate,branch_miss_rate_stdev,l1_loads,l1_loads_stdev,l1_load_misses,l1_load_misses_stdev,l1_miss_rate,l1_miss_rate_stdev,llc_loads,llc_loads_stdev,llc_load_misses,llc_load_misses_stdev,llc_miss_rate,llc_miss_rate_stdev
OmpSCR-fft,147,27.507574714370342,145.0,110,200,49752.8,2681.090855934908,49784.0,46140,55476,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,4178876681.5,1467909267.973096,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
OmpSCR-fft6,892,64.60134157533676,895.0,760,970,492113.2,4110.9761155013075,491422.0,487252,499036,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,173182302724.6,3083590302.194565,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB001,166,56.60781257427674,145.0,120,310,46385.2,2012.2284385449107,46344.0,43384,49544,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,3189427795.5,860548057.0240725,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB002,156,32.041639575194445,170.0,100,200,44672.8,2224.598480625212,44278.0,41064,48104,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,3105389324.5,1043690653.5173842,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB003,167,36.83295625749672,160.0,120,230,44618,2170.8085539212752,43268.0,42620,48744,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,3165431371.7,955766379.7062647,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB004,162,19.32183566158592,165.0,130,180,45882,2604.8476176373756,46156.0,43068,48828,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,2920418542.1,1202653451.5899599,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB005,195,16.49915822768611,200.0,170,220,47421.6,2629.4335342638174,47404.0,43172,51688,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,3262042771.7,867640205.7526104,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB006,171,49.09175083453431,165.0,120,280,47880.4,2796.392247164192,48238.0,43204,52632,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,4501918719,2464980457.2572494,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB007,181,35.73047252229764,175.0,140,240,47275.6,1990.1262494849136,47280.0,43224,50104,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,3593169632.6,1857512458.300909,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB008,129,27.26414006223804,135.0,90,180,45502.4,2636.4752227168756,44972.0,42748,49016,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1582432550.2,586160237.8866212,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
