name,duration,duration_stdev,duration_median,duration_min,duration_max,memory,memory_stdev,memory_median,memory_min,memory_max,num_warnings,num_warnings_stdev,num_warnings_median,num_warnings_min,num_warnings_max,context_switches,context_switches_stdev,migrations,migrations_stdev,page_faults,page_faults_stdev,instructions,instructions_stdev,branches,branches_stdev,branch_misses,branch_misses_stdev,branch_miss_rate,branch_miss_rate_stdev,l1_loads,l1_loads_stdev,l1_load_misses,l1_load_misses_stdev,l1_miss_rate,l1_miss_rate_stdev,llc_loads,llc_loads_stdev,llc_load_misses,llc_load_misses_stdev,llc_miss_rate,llc_miss_rate_stdev
OmpSCR-fft,129.8,56.22440460751352,110.0,70,270,51477.84,2745.3404484615717,51466.0,45816,56624,9.7,20.036955652911313,0.0,0,72,0,0.0,0,0.0,0,0.0,4085323651.16,2228781104.0788217,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
OmpSCR-fft6,690.2,59.914565024214404,675.0,610,850,495752.16,3272.927462984657,495190.0,488468,502072,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,153098103611.76,4612798189.749885,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB001,75.6,21.68042472661757,65.0,40,130,47444.96,1885.6324761474705,47356.0,43124,51236,0.04,0.1979486637221574,0.0,0,1,0,0.0,0,0.0,0,0.0,1866647975.08,969979168.9067987,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB002,81.6,19.310565998532343,80.0,40,120,47937.76,1710.843431570212,48178.0,43200,51420,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1900563464.72,605815868.6791861,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB003,78.2,19.026297590440446,80.0,40,120,47888.96,1790.7299726932704,47862.0,44376,52968,0.1,0.30304576336566325,0.0,0,1,0,0.0,0,0.0,0,0.0,1874442055.54,744598249.4281148,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB004,90,22.223355980148636,90.0,50,130,44378.32,2130.503068310776,43496.0,40924,49276,0.12,0.32826072265931594,0.0,0,1,0,0.0,0,0.0,0,0.0,2264565726.22,1058704989.8164023,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB005,88,20.203050891044214,90.0,50,140,43993.52,1442.1213150588055,43188.0,41088,47260,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,2013622326.26,939956703.5867896,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB006,85.6,21.68042472661757,80.0,40,140,44233.68,2049.5415260342434,43280.0,40804,51724,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,2130117325.68,966247325.488941,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB007,79,20.922597879824014,80.0,40,130,43705.28,1511.1245581367812,43200.0,40772,47216,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1859596370.14,836824819.2796456,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB008,83.2,19.737046901909192,80.0,50,150,44104.72,1533.649070361407,44960.0,40876,47280,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1852850661.72,656982269.8038577,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
