name,duration,duration_stdev,duration_median,duration_min,duration_max,memory,memory_stdev,memory_median,memory_min,memory_max,num_warnings,num_warnings_stdev,num_warnings_median,num_warnings_min,num_warnings_max,context_switches,context_switches_stdev,migrations,migrations_stdev,page_faults,page_faults_stdev,instructions,instructions_stdev,branches,branches_stdev,branch_misses,branch_misses_stdev,branch_miss_rate,branch_miss_rate_stdev,l1_loads,l1_loads_stdev,l1_load_misses,l1_load_misses_stdev,l1_miss_rate,l1_miss_rate_stdev,llc_loads,llc_loads_stdev,llc_load_misses,llc_load_misses_stdev,llc_miss_rate,llc_miss_rate_stdev
OmpSCR-fft,1201,1215.231573724851,710.0,70,2830,50714.8,1733.1959432729404,51228.0,48104,53488,8.4,8.934328302800509,8.0,0,20,0,0.0,0,0.0,0,0.0,35383587701.5,35060212694.90556,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
OmpSCR-fft6,705,24.1522945769824,700.0,680,750,495614.8,2735.153897762326,495632.0,491872,500808,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,167031561296,2565782005.9810452,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB001,115,8.498365855987975,115.0,100,130,49078,2077.3446726263046,49336.0,45992,51328,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,4340159340.4,672367705.9272566,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB002,101,18.52925614624973,100.0,80,130,49212,1704.2691493227628,49200.0,45648,51404,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,3302252878.6,1199522607.5207505,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB003,90,11.547005383792516,90.0,80,110,49512.4,1543.1424791998668,49308.0,47252,52628,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,2993278459.5,836764929.9008691,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB004,91,11.972189997378647,90.0,80,110,48200.4,1621.3667211474535,48522.0,45744,50084,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,2943149493.7,526332324.0153557,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB005,93,16.36391694484477,90.0,80,130,48118,1586.739774226105,48342.0,45532,50772,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,3623884161.7,1161168855.1540182,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB006,99,13.703203194062977,100.0,80,120,48632.8,1747.6982195638543,48660.0,45592,51016,1.2,0.6324555320336759,1.0,1,3,0,0.0,0,0.0,0,0.0,3702990514.6,939011439.3295666,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB007,101,31.073389830457113,90.0,80,180,48096,1879.5980657813225,47946.0,45568,51272,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,3625310250.5,1696386579.6728885,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB008,77,21.10818693198342,75.0,40,110,48320.8,2175.1826896454772,48598.0,45244,50724,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1529807495,548337227.141471,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
