name,duration,duration_stdev,duration_median,duration_min,duration_max,memory,memory_stdev,memory_median,memory_min,memory_max,num_warnings,num_warnings_stdev,num_warnings_median,num_warnings_min,num_warnings_max,num_locks_mean,num_locks_stdev,num_locks_median,num_locks_max,num_locks_min,num_accesses_mean,num_accesses_stdev,num_accesses_median,num_accesses_max,num_accesses_min,num_atomic_stores_mean,num_atomic_stores_stdev,num_atomic_stores_median,num_atomic_stores_max,num_atomic_stores_min,context_switches,context_switches_stdev,migrations,migrations_stdev,page_faults,page_faults_stdev,instructions,instructions_stdev,branches,branches_stdev,branch_misses,branch_misses_stdev,branch_miss_rate,branch_miss_rate_stdev,l1_loads,l1_loads_stdev,l1_load_misses,l1_load_misses_stdev,l1_miss_rate,l1_miss_rate_stdev,llc_loads,llc_loads_stdev,llc_load_misses,llc_load_misses_stdev,llc_miss_rate,llc_miss_rate_stdev
OmpSCR-fft,123,39.171985454460234,115.0,80,200,50434,2205.1279630292056,49836.0,48120,54172,0,0.0,0.0,0,0,179.4,0.9660917830792959,180.0,178,180,490753.7,1943.9825702236462,490446.5,487481,494590,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,3221017883.4,971876559.5959101,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
OmpSCR-fft6,935,86.57045942147035,940.0,770,1080,492356.4,2966.875168703036,492644.0,487508,496144,0,0.0,0.0,0,0,223.9,20.98385622859207,230.0,192,258,181597947.3,38628.20790288994,181605204.0,181529371,181652622,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,168079560504.1,3675296897.118452,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB001,88,34.57680661303984,80.0,40,140,46798.8,2208.880701974544,46564.0,43400,50184,0,0.0,0.0,0,0,179.8,0.6324555320336759,180.0,178,180,2533,0.0,2533.0,2533,2533,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1822834347.3,1362166901.7980683,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB002,103,23.593784492248517,100.0,70,140,47159.2,2573.211603338434,46556.0,44612,51372,0,0.0,0.0,0,0,178.8,1.0327955589886444,178.0,178,180,2533,0.0,2533.0,2533,2533,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1837276428,535393183.1487579,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB003,100,16.32993161855452,95.0,80,120,47934,2104.4370057360024,48200.0,43456,50244,0,0.0,0.0,0,0,179,1.0540925533894598,179.0,178,180,717.5,1.4337208778404378,717.5,716,719,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1874814748.8,623229849.5394762,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB004,89,26.01281735350223,80.0,50,150,47882,2906.4925024273957,47606.0,43232,51884,0,0.0,0.0,0,0,179.4,0.9660917830792959,180.0,178,180,717.4,2.1705094128132942,718.0,714,721,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1630114491.2,726750129.7337478,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB005,96,26.74987019698517,85.0,70,150,47680,2572.661052079906,47718.0,44708,52028,0,0.0,0.0,0,0,179.4,0.9660917830792959,180.0,178,180,1161,0.0,1161.0,1161,1161,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,2008423218.2,711519046.5992317,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB006,100,23.570226039551585,100.0,70,140,47585.2,2154.39688905168,47436.0,44912,50912,0,0.0,0.0,0,0,179.2,1.0327955589886444,180.0,178,180,1161,0.0,1161.0,1161,1161,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,2212443731.5,657477186.9735589,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB007,82,9.189365834726814,85.0,70,90,47456.4,2300.802140317348,47814.0,44840,51328,0,0.0,0.0,0,0,179.2,1.0327955589886444,180.0,178,180,1161,0.0,1161.0,1161,1161,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1857446256.2,505984845.93045247,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB008,91,22.82785822435191,90.0,60,130,47508,2093.997346915437,47560.0,44660,50436,0,0.0,0.0,0,0,179.6,0.8432740427115678,180.0,178,180,1161,0.0,1161.0,1161,1161,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,2192310377.3,949171633.4846412,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB009,97,17.669811040931428,90.0,70,120,49072.8,2398.61649011814,49948.0,44796,51920,0,0.0,0.0,0,0,179.2,1.0327955589886444,180.0,178,180,569.5,1.90029237516523,568.5,568,573,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,2337118753.1,786514665.8753507,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB010,94,20.65591117977289,90.0,70,130,48532.8,2232.5899658368876,47982.0,44888,51856,0,0.0,0.0,0,0,179,1.0540925533894598,179.0,178,180,569.6,2.2211108331943574,568.0,568,573,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1981465394.6,884412744.4989178,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB011,89,18.52925614624973,85.0,70,120,47664.8,2322.0740154726623,47948.0,42652,50568,0,0.0,0.0,0,0,179.2,1.0327955589886444,180.0,178,180,654.9,2.5144029554194813,653.5,653,659,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1806967341.5,309350811.92934644,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB012,97,25.407785333546006,90.0,60,140,48768,1718.0785132751582,48848.0,45848,51340,0,0.0,0.0,0,0,178.8,1.0327955589886444,178.0,178,180,654.8,2.440400695696417,653.0,653,659,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,2148076702.4,981877364.3229369,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB013,103,18.287822299126937,110.0,70,130,47195.6,1712.6804981924938,47718.0,44692,49580,0,0.0,0.0,0,0,179.4,0.9660917830792959,180.0,178,180,1618.7,2.4517567397911058,1618.5,1616,1622,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,2549671758.1,1165001926.6245024,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB014,84,15.05545305418162,85.0,60,110,48910.4,1810.925067472423,48452.0,46124,51688,0,0.0,0.0,0,0,179.6,0.8432740427115678,180.0,178,180,10393,0.0,10393.0,10393,10393,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1768721841.8,836915302.7917486,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB015,84,15.05545305418162,90.0,50,100,49880.4,1396.3933861519429,50332.0,47424,51740,0,0.0,0.0,0,0,179,1.0540925533894598,179.0,178,180,10393,0.0,10393.0,10393,10393,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1698798937.5,756707037.3905072,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB016,78,11.352924243950934,70.0,70,100,47941.2,2581.4628411038575,47428.0,44804,51984,0,0.0,0.0,0,0,178.8,1.0327955589886444,178.0,178,180,693.9,3.5103022978402048,693.0,691,703,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1461226500.7,216501371.53122178,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB017,88,13.165611772087667,90.0,70,100,48921.2,2645.981137078981,50070.0,42460,50880,0,0.0,0.0,0,0,179.4,0.9660917830792959,180.0,178,180,694.9,2.5582111805799856,694.5,692,700,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1847983122.7,677084623.8109789,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB018,91,26.436506745197804,90.0,60,130,48599.2,2517.785128948766,50184.0,44888,51284,0,0.0,0.0,0,0,179,1.0540925533894598,179.0,178,180,2655.8,45.23960899722965,2644.0,2599,2743,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,2024888697.4,983129750.4151094,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB019,88,20.97617696340303,85.0,70,140,48200,1876.3539111798711,48558.0,44740,50096,0,0.0,0.0,0,0,179.4,0.9660917830792959,180.0,178,180,2658.1,22.820312589153257,2655.5,2632,2710,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1834241407.9,575524436.5341073,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB020,97,23.118054512532936,90.0,70,150,48674,1670.2960482767385,49226.0,45316,50232,0,0.0,0.0,0,0,179.6,0.8432740427115678,180.0,178,180,692.6,1.429840705968481,693.0,690,695,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,2136298544.4,727599807.5854459,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB021,79,26.436506745197804,70.0,40,130,48115.6,2016.1264951496582,48100.0,44824,50812,0,0.0,0.0,0,0,179.2,1.0327955589886444,180.0,178,180,11190,259.18890579823994,11171.5,10793,11581,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1624975659.7,1091100240.231732,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB022,71,18.52925614624973,70.0,50,100,47101.6,2441.3302020733604,47460.0,42948,50220,0,0.0,0.0,0,0,179.2,1.0327955589886444,180.0,178,180,11436.3,384.39073003043836,11420.5,10821,11958,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1192756107.1,772947487.4568425,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
