name,duration,duration_stdev,duration_median,duration_min,duration_max,memory,memory_stdev,memory_median,memory_min,memory_max,num_warnings,num_warnings_stdev,num_warnings_median,num_warnings_min,num_warnings_max,num_locks_mean,num_locks_stdev,num_locks_median,num_locks_max,num_locks_min,num_accesses_mean,num_accesses_stdev,num_accesses_median,num_accesses_max,num_accesses_min,num_atomic_stores_mean,num_atomic_stores_stdev,num_atomic_stores_median,num_atomic_stores_max,num_atomic_stores_min,context_switches,context_switches_stdev,migrations,migrations_stdev,page_faults,page_faults_stdev,instructions,instructions_stdev,branches,branches_stdev,branch_misses,branch_misses_stdev,branch_miss_rate,branch_miss_rate_stdev,l1_loads,l1_loads_stdev,l1_load_misses,l1_load_misses_stdev,l1_miss_rate,l1_miss_rate_stdev,llc_loads,llc_loads_stdev,llc_load_misses,llc_load_misses_stdev,llc_miss_rate,llc_miss_rate_stdev
OmpSCR-fft,111,24.244128727957577,100.0,90,160,51420.4,1876.920835363661,51210.0,48856,54604,0,0.0,0.0,0,0,253.2,1.0327955589886444,254.0,252,254,949054.1,3272.935327126944,950438.5,943500,953354,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,3310583846.5,879538633.9277287,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
OmpSCR-fft6,983,116.24208455728167,1000.0,810,1190,490858.4,2391.391375561748,490822.0,488196,495432,0,0.0,0.0,0,0,323,25.403411844343534,332.5,287,354,184487951.2,66644.96860195491,184495844.5,184359479,184568299,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,167444372483.1,3626146487.8523197,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB001,91,19.119507199599983,85.0,70,130,48096.4,2666.7329658424956,48452.0,44600,50772,0,0.0,0.0,0,0,253,1.0540925533894598,253.0,252,254,2574,0.0,2574.0,2574,2574,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1713949909.7,754454453.557238,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB002,91,22.335820757001272,90.0,60,140,47924.4,2602.413546434668,48302.0,44652,51844,0,0.0,0.0,0,0,253.4,0.9660917830792959,254.0,252,254,2582,0.0,2582.0,2582,2582,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1620650485.3,712524401.1622293,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB003,88,16.865480854231357,80.0,60,120,48199.2,2045.8050738034647,49228.0,44628,50060,0,0.0,0.0,0,0,253.2,1.0327955589886444,254.0,252,254,732.9,1.8529256146249728,732.5,730,736,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1432977021.5,681614290.8798606,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB004,107,24.06010991015812,105.0,80,160,48191.6,1574.5379004647682,48496.0,45684,49956,0,0.0,0.0,0,0,253.4,0.9660917830792959,254.0,252,254,813.7,2.110818693198342,813.0,812,819,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1866357410.3,668792624.9148102,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB005,95,19.0029237516523,95.0,70,130,46950,2406.0954077324345,47524.0,42920,50048,0,0.0,0.0,0,0,253.2,1.0327955589886444,254.0,252,254,1186,0.0,1186.0,1186,1186,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,2209536915.5,584794345.7840809,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB006,95,14.337208778404378,90.0,80,120,46152,1512.722931229201,45438.0,44844,48664,0,0.0,0.0,0,0,252.8,1.0327955589886444,252.0,252,254,1186,0.0,1186.0,1186,1186,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,2284888941.4,494461689.5873389,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB007,97,34.97618237219913,85.0,70,170,48422,2486.6150128683416,49910.0,43628,50596,0,0.0,0.0,0,0,253.4,0.9660917830792959,254.0,252,254,1186,0.0,1186.0,1186,1186,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,2178166712.5,840706100.9649612,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB008,88,26.997942308422115,80.0,50,130,47054.8,1798.0691372197628,46966.0,43744,49744,0,0.0,0.0,0,0,253.2,1.0327955589886444,254.0,252,254,1185,0.0,1185.0,1185,1185,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1779636167.1,561920846.6349685,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
