name,duration,duration_stdev,duration_median,duration_min,duration_max,memory,memory_stdev,memory_median,memory_min,memory_max,num_warnings,num_warnings_stdev,num_warnings_median,num_warnings_min,num_warnings_max,num_locks_mean,num_locks_stdev,num_locks_median,num_locks_max,num_locks_min,num_accesses_mean,num_accesses_stdev,num_accesses_median,num_accesses_max,num_accesses_min,num_atomic_stores_mean,num_atomic_stores_stdev,num_atomic_stores_median,num_atomic_stores_max,num_atomic_stores_min,uclock_acquires_rate,uclock_acquires_rate_stdev,uclock_acquires_rate_median,uclock_acquires_rate_min,uclock_acquires_rate_max,uclock_releases_rate,uclock_releases_rate_stdev,uclock_releases_rate_median,uclock_releases_rate_min,uclock_releases_rate_max,uclock_incs_rate,uclock_incs_rate_stdev,uclock_incs_rate_median,uclock_incs_rate_min,uclock_incs_rate_max,context_switches,context_switches_stdev,migrations,migrations_stdev,page_faults,page_faults_stdev,instructions,instructions_stdev,branches,branches_stdev,branch_misses,branch_misses_stdev,branch_miss_rate,branch_miss_rate_stdev,l1_loads,l1_loads_stdev,l1_load_misses,l1_load_misses_stdev,l1_miss_rate,l1_miss_rate_stdev,llc_loads,llc_loads_stdev,llc_load_misses,llc_load_misses_stdev,llc_miss_rate,llc_miss_rate_stdev
OmpSCR-fft,120,20.0,120,100,140,53134.666666666664,1840.5839653037656,54104,51012,54288,0,0.0,0,0,0,252.66666666666666,1.1547005383792515,252,252,254,943475.6666666666,10636.466769248767,946727,931593,952107,0,0.0,0,0,0,0.006326270752096376,0.0010593938138103404,0.005714801335458838,0.005714457577671509,0.007549553343158781,1.0,0.0,1.0,1.0,1.0,1.008303958807362,0.0020842929417227126,1.007101011894195,1.00710017158748,1.0107106929404106,0,0.0,0,0.0,0,0.0,3683678199,978787100.5975312,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
OmpSCR-fft6,833.3333333333334,64.29100507328637,860,760,880,493597.3333333333,2791.015108044622,492996,491156,496640,0,0.0,0,0,0,285,6.244997998398398,287,278,290,184537886.66666666,12402.886330743071,184544164,184523600,184545896,0,0.0,0,0,0,0.04235112052611258,0.0007922521973248489,0.04251700680272109,0.04148905939187269,0.04304729538374398,1.0,0.0,1.0,1.0,1.0,1.0392128368624096,0.001391147530663753,1.039506172839506,1.0376984126984128,1.0404339250493098,0,0.0,0,0.0,0,0.0,170585772195,2004680044.74061,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB001,76.66666666666667,5.773502691896257,80,70,80,48017.333333333336,680.1450825620467,48404,47232,48416,0,0.0,0,0,0,253.33333333333334,1.1547005383792515,254,252,254,2574,0.0,2574,2574,2574,0,0.0,0,0,0,0.29992007472171217,0.0005479029188246262,0.30023640661938533,0.2992874109263658,0.30023640661938533,1.0,0.0,1.0,1.0,1.0,1.1244493392070485,0.0009537724711281957,1.125,1.1233480176211454,1.125,0,0.0,0,0.0,0,0.0,2017731619.6666667,41490675.169966884,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB002,103.33333333333333,20.816659994661325,110,80,120,48706.666666666664,1352.1203102288396,48516,47460,50144,0,0.0,0,0,0,253.33333333333334,1.1547005383792515,254,252,254,2582,0.0,2582,2582,2582,0,0.0,0,0,0,0.29992007472171217,0.0005479029188246262,0.30023640661938533,0.2992874109263658,0.30023640661938533,1.0,0.0,1.0,1.0,1.0,1.1244493392070485,0.0009537724711281957,1.125,1.1233480176211454,1.125,0,0.0,0,0.0,0,0.0,2368079743,664759946.2280883,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB003,80,26.457513110645905,70,60,110,46250.666666666664,3174.630267185981,45924,43252,49576,0,0.0,0,0,0,252.66666666666666,1.1547005383792515,252,252,254,731.3333333333334,1.1547005383792515,732,730,732,0,0.0,0,0,0,0.29960374282403895,0.0005479029188246262,0.2992874109263658,0.2992874109263658,0.30023640661938533,1.0,0.0,1.0,1.0,1.0,1.123898678414097,0.0009537724711281957,1.1233480176211454,1.1233480176211454,1.125,0,0.0,0,0.0,0,0.0,1466501646.6666667,520501702.4203594,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB004,80,10.0,80,70,90,49662.666666666664,1079.6320360814298,50160,48424,50404,0,0.0,0,0,0,253.33333333333334,1.1547005383792515,254,252,254,810.6666666666666,1.5275252316519468,811,809,812,0,0.0,0,0,0,0.29992007472171217,0.0005479029188246262,0.30023640661938533,0.2992874109263658,0.30023640661938533,1.0,0.0,1.0,1.0,1.0,1.1244493392070485,0.0009537724711281957,1.125,1.1233480176211454,1.125,0,0.0,0,0.0,0,0.0,1903442171.6666667,473848237.4026841,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB005,73.33333333333333,32.145502536643185,60,50,110,48945.333333333336,1304.1799466842501,48324,48068,50444,0,0.0,0,0,0,253.33333333333334,1.1547005383792515,254,252,254,1186,0.0,1186,1186,1186,0,0.0,0,0,0,0.29992007472171217,0.0005479029188246262,0.30023640661938533,0.2992874109263658,0.30023640661938533,1.0,0.0,1.0,1.0,1.0,1.1244493392070485,0.0009537724711281957,1.125,1.1233480176211454,1.125,0,0.0,0,0.0,0,0.0,1602389012.6666667,1648403671.936071,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB006,63.333333333333336,20.81665999466133,70,40,80,49328,1218.3070220597106,49492,48036,50456,0,0.0,0,0,0,252.66666666666666,1.1547005383792515,252,252,254,1186,0.0,1186,1186,1186,0,0.0,0,0,0,0.29960374282403895,0.0005479029188246262,0.2992874109263658,0.2992874109263658,0.30023640661938533,1.0,0.0,1.0,1.0,1.0,1.123898678414097,0.0009537724711281957,1.1233480176211454,1.1233480176211454,1.125,0,0.0,0,0.0,0,0.0,1190079291,1084676028.3770123,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB007,73.33333333333333,11.547005383792516,80,60,80,50204,552.362200010102,50284,49616,50712,0,0.0,0,0,0,253.33333333333334,1.1547005383792515,254,252,254,1186,0.0,1186,1186,1186,0,0.0,0,0,0,0.29992007472171217,0.0005479029188246262,0.30023640661938533,0.2992874109263658,0.30023640661938533,1.0,0.0,1.0,1.0,1.0,1.1244493392070485,0.0009537724711281957,1.125,1.1233480176211454,1.125,0,0.0,0,0.0,0,0.0,1585528410.3333333,864097258.1480701,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB008,86.66666666666667,20.816659994661325,80,70,110,48221.333333333336,364.42466070963604,48300,47824,48540,0,0.0,0,0,0,253.33333333333334,1.1547005383792515,254,252,254,1185,0.0,1185,1185,1185,0,0.0,0,0,0,0.29992007472171217,0.0005479029188246262,0.30023640661938533,0.2992874109263658,0.30023640661938533,1.0,0.0,1.0,1.0,1.0,1.1244493392070485,0.0009537724711281957,1.125,1.1233480176211454,1.125,0,0.0,0,0.0,0,0.0,1842303571,355176541.39186585,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
