name,duration,duration_stdev,duration_median,duration_min,duration_max,memory,memory_stdev,memory_median,memory_min,memory_max,num_warnings,num_warnings_stdev,num_warnings_median,num_warnings_min,num_warnings_max,num_locks_mean,num_locks_stdev,num_locks_median,num_locks_max,num_locks_min,num_accesses_mean,num_accesses_stdev,num_accesses_median,num_accesses_max,num_accesses_min,num_atomic_stores_mean,num_atomic_stores_stdev,num_atomic_stores_median,num_atomic_stores_max,num_atomic_stores_min,uclock_acquires_rate,uclock_acquires_rate_stdev,uclock_acquires_rate_median,uclock_acquires_rate_min,uclock_acquires_rate_max,uclock_releases_rate,uclock_releases_rate_stdev,uclock_releases_rate_median,uclock_releases_rate_min,uclock_releases_rate_max,uclock_incs_rate,uclock_incs_rate_stdev,uclock_incs_rate_median,uclock_incs_rate_min,uclock_incs_rate_max,context_switches,context_switches_stdev,migrations,migrations_stdev,page_faults,page_faults_stdev,instructions,instructions_stdev,branches,branches_stdev,branch_misses,branch_misses_stdev,branch_miss_rate,branch_miss_rate_stdev,l1_loads,l1_loads_stdev,l1_load_misses,l1_load_misses_stdev,l1_miss_rate,l1_miss_rate_stdev,llc_loads,llc_loads_stdev,llc_load_misses,llc_load_misses_stdev,llc_miss_rate,llc_miss_rate_stdev
OmpSCR-fft,117,24.090347186917146,110.0,90,190,51281.333333333336,2102.6447276167964,51312.0,47964,55812,0,0.0,0.0,0,0,252.6,0.932183199398798,252.0,252,254,53735.9,314.9328718839992,53722.5,53010,54439,0,0.0,0.0,0,0,0.005763718039714322,0.00033584864433764024,0.005695515911282546,0.005665380906460945,0.0075337512054001925,0.9999013795031735,6.279912599489969e-05,0.9998816568043194,0.9997633276137506,1.0,0.9957406388602569,3.359189675068025e-05,0.9957158157800785,0.9957140305970593,0.995833829306035,0,0.0,0,0.0,0,0.0,3391651005.6,1011245151.7723044,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
OmpSCR-fft6,930.6666666666666,99.72145113310351,910.0,780,1120,492523.06666666665,3126.6568565882912,491972.0,484860,498296,0,0.0,0.0,0,0,314.03333333333336,38.31672303796106,303.5,258,395,18505658.166666668,12945.610823439503,18507644.5,18475313,18533770,0,0.0,0.0,0,0,0.04876990745630504,0.00702833160691594,0.047489337575660415,0.03783469150174622,0.06241253848306745,0.999968236998298,0.00012088173989221158,1.0,0.99951992318771,1.0,0.9631700766201022,6.00503822662599e-05,0.9631675849276005,0.9630801687763713,0.9632931305715784,0,0.0,0,0.0,0,0.0,156413730546,4457343516.86971,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB001,79,17.878902998053128,80.0,50,120,48022.53333333333,1987.5639522711756,47906.0,43956,52832,0,0.0,0.0,0,0,252.8,0.9965457582448796,252.0,252,254,265.6666666666667,14.765601528747386,265.0,242,299,0,0.0,0.0,0,0,0.3506083178150217,0.0018016384363055472,0.34916201117318435,0.34916201117318435,0.3527777777777778,0.9972888811603163,0.0022856364296239785,0.9977973568281938,0.9933920704845814,1.0,0.8026541498207946,0.001824995102954565,0.8022284122562674,0.7994350282485876,0.8066298342541437,0,0.0,0,0.0,0,0.0,1842110594.2,831313489.2176148,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB002,85.66666666666667,19.419743478779765,80.0,50,120,47634.4,1932.8254394306655,47926.0,42960,50072,0,0.0,0.0,0,0,252.93333333333334,1.0148325268098497,252.0,252,254,279.1,15.753160602416177,272.5,260,316,0,0.0,0.0,0,0,0.35084936892199464,0.0018346987798471214,0.34916201117318435,0.34916201117318435,0.3527777777777778,0.9971423603060514,0.002778780737438484,0.9977973568281938,0.9889867841409692,1.0,0.802031181465485,0.001924312141332609,0.8016878471837562,0.7994350282485876,0.8060941828254847,0,0.0,0,0.0,0,0.0,2004737816.9333334,849215419.4212248,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB003,89.66666666666667,25.255021123610707,85.0,50,160,48096.8,1940.6991701357315,47904.0,44156,52392,0,0.0,0.0,0,0,252.93333333333334,1.0148325268098497,252.0,252,254,213.33333333333334,6.326372460245059,213.0,204,229,0,0.0,0.0,0,0,0.35084936892199464,0.0018346987798471214,0.34916201117318435,0.34916201117318435,0.3527777777777778,0.9961209006363192,0.004374400785197788,0.9967056959579566,0.9780701754385965,1.0,0.8021831901482414,0.0020796380715042634,0.8016759776536313,0.7994350282485876,0.8076923076923077,0,0.0,0,0.0,0,0.0,1887966871.0666666,819981511.1760355,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB004,92.66666666666667,16.174337556830537,90.0,70,130,47808.933333333334,2368.324228346852,46954.0,44732,52996,0,0.0,0.0,0,0,252.86666666666667,1.0080138659874618,252.0,252,254,230.2,8.829417913410554,229.5,216,248,0,0.0,0.0,0,0,0.3507288433685082,0.0018223714368023013,0.34916201117318435,0.34916201117318435,0.3527777777777778,0.9980214854316408,0.002027317967789418,0.9978021871860268,0.9933920704845814,1.0,0.7989611285519864,0.002257045685599087,0.7988826815642458,0.7960339943342776,0.8055555555555556,0,0.0,0,0.0,0,0.0,2303336215.4666667,759518687.3421646,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB005,90.66666666666667,16.59524928558094,90.0,70,130,48291.066666666666,1532.6233298708355,48364.0,45976,51644,0,0.0,0.0,0,0,253,1.0170952554312156,253.0,252,254,230.86666666666667,12.987350167290327,228.5,212,264,0,0.0,0.0,0,0,0.3509698944754811,0.0018387895291393176,0.3509698944754811,0.34916201117318435,0.3527777777777778,0.997729087770822,0.002195565881524032,0.9978070175438597,0.9912280701754386,1.0,0.802175006421399,0.0013389098170249638,0.8016759776536313,0.8,0.8050139275766016,0,0.0,0,0.0,0,0.0,2121113911.2666667,720775667.5395434,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB006,86.66666666666667,17.68173289473969,90.0,50,130,48229.333333333336,1675.1069411735527,48022.0,45456,51820,0,0.0,0.0,0,0,252.93333333333334,1.0148325268098497,252.0,252,254,230.66666666666666,13.070982163274635,230.0,210,262,0,0.0,0.0,0,0,0.35084936892199464,0.0018346987798471214,0.34916201117318435,0.34916201117318435,0.3527777777777778,0.997289847231883,0.0018847229629386111,0.9977973568281938,0.993421052631579,1.0,0.8018186649280625,0.0016835100327208248,0.8016759776536313,0.7994350282485876,0.8050139275766016,0,0.0,0,0.0,0,0.0,1930093663.3666666,764311601.7367203,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB007,78,16.27352408689945,80.0,50,110,47644.666666666664,1699.5594019979237,47308.0,44252,51920,0,0.0,0.0,0,0,252.86666666666667,1.0080138659874618,252.0,252,254,227.16666666666666,12.567290145818843,223.0,208,259,0,0.0,0.0,0,0,0.3507288433685082,0.0018223714368023013,0.34916201117318435,0.34916201117318435,0.3527777777777778,0.9978028312337378,0.0025132330766682843,0.9978070175438597,0.9912280701754386,1.0,0.8021710004660525,0.0018601433852815995,0.8013982129164515,0.7994350282485876,0.8060941828254847,0,0.0,0,0.0,0,0.0,1585970059.5,799061760.0348735,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB008,86.66666666666667,17.28729518208802,80.0,60,140,47931.333333333336,2017.3424876910906,48248.0,43688,52356,0,0.0,0.0,0,0,252.93333333333334,1.0148325268098497,252.0,252,254,223.26666666666668,8.476878627441106,221.5,213,246,0,0.0,0.0,0,0,0.35084936892199464,0.0018346987798471214,0.34916201117318435,0.34916201117318435,0.3527777777777778,0.9978021871860268,0.0025155626366677834,0.9978021871860268,0.9933920704845814,1.0,0.8025830515059278,0.0016409741830336875,0.8022284122562674,0.8,0.8060941828254847,0,0.0,0,0.0,0,0.0,2277747064.7,871771348.9947243,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
