name,duration,duration_stdev,duration_median,num_warnings,num_warnings_stdev,num_warnings_median,context_switches,context_switches_stdev,migrations,migrations_stdev,page_faults,page_faults_stdev,instructions,instructions_stdev,branches,branches_stdev,branch_misses,branch_misses_stdev,branch_miss_rate,branch_miss_rate_stdev,l1_loads,l1_loads_stdev,l1_load_misses,l1_load_misses_stdev,l1_miss_rate,l1_miss_rate_stdev,llc_loads,llc_loads_stdev,llc_load_misses,llc_load_misses_stdev,llc_miss_rate,llc_miss_rate_stdev
OmpSCR-fft,6439.4,1515.045888560622,5535.0,14.8,2.043961295567452,14.0,0,0.0,0,0.0,0,0.0,117435828539.6,23735251729.54069,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
OmpSCR-fft6,830.9,30.791232518364705,823.5,0,0.0,0.0,0,0.0,0,0.0,0,0.0,154347432482.1,3932465208.820475,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB001,190.8,35.279203820696154,192.5,2,0.0,2.0,0,0.0,0,0.0,0,0.0,4482066698.1,1225885142.6503317,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB002,197.5,37.4054363250406,189.5,2,0.0,2.0,0,0.0,0,0.0,0,0.0,4512550952.5,1402810611.4835696,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB003,167.9,24.168160873347396,173.5,2,0.0,2.0,0,0.0,0,0.0,0,0.0,3603937648.6,864983493.1247246,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB004,177.5,29.80771712157776,173.0,2,0.0,2.0,0,0.0,0,0.0,0,0.0,3971251201.5,1142948335.1619935,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB005,167,28.87521043694362,168.0,3,0.0,3.0,0,0.0,0,0.0,0,0.0,4071799607.6,1493228263.1364865,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB006,174.4,33.96468754456605,166.0,3,0.0,3.0,0,0.0,0,0.0,0,0.0,4393256525.7,1410099503.3574436,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB007,164.3,21.56669242656885,169.0,3,0.0,3.0,0,0.0,0,0.0,0,0.0,4314533053.8,1367736926.2283497,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB008,180.8,28.094285698143118,173.0,2,0.0,2.0,0,0.0,0,0.0,0,0.0,5006436405.9,1284703023.5475528,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB009,204.7,30.42677914089641,208.5,1.7,0.48304589153964794,2.0,0,0.0,0,0.0,0,0.0,4624668363.6,1153023776.0459247,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB010,208.5,38.07084040166291,220.0,1.2,0.4216370213557839,1.0,0,0.0,0,0.0,0,0.0,4405927570.1,1226814470.6689677,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB011,192.4,33.62604810427641,190.5,2.1,0.31622776601683794,2.0,0,0.0,0,0.0,0,0.0,4097636561.3,1166486309.6220922,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB012,218.1,48.32172274338829,221.5,2.5,0.5270462766947299,2.5,0,0.0,0,0.0,0,0.0,4831351760.6,996759904.0559087,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB013,140.7,23.655161522734666,137.5,0.4,0.8432740427115679,0.0,0,0.0,0,0.0,0,0.0,2247010936,1231747736.2801957,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB014,222.2,24.791575630084957,220.5,2,0.0,2.0,0,0.0,0,0.0,0,0.0,4430231491,843702793.8541563,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB015,227.1,35.80642400463917,214.0,2,0.0,2.0,0,0.0,0,0.0,0,0.0,4821682271.6,884649276.2039192,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB016,215,42.99095512107427,219.0,2.4,0.5163977794943222,2.0,0,0.0,0,0.0,0,0.0,4707256973.4,1557861141.7290108,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB017,211.6,21.256110232641866,218.0,2.1,0.31622776601683794,2.0,0,0.0,0,0.0,0,0.0,4607996640.7,1349559814.9526527,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB018,249.6,27.833632732920638,249.0,32.7,1.946506842754191,32.0,0,0.0,0,0.0,0,0.0,6412483255.1,1562031135.703123,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB019,432.6,39.867001113424344,433.5,97.1,8.359292899389144,97.5,0,0.0,0,0.0,0,0.0,12101251324.1,2553122675.9701943,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB020,203,24.644133852366032,208.5,1.5,0.5270462766947299,1.5,0,0.0,0,0.0,0,0.0,4328251273.6,1124197525.272973,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB021,241.5,42.76356185144336,228.0,17.9,4.306326095924976,19.0,0,0.0,0,0.0,0,0.0,6920601433,1233994086.0040617,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB022,233.5,28.883867084893218,231.0,18.9,5.3218626647276635,18.5,0,0.0,0,0.0,0,0.0,6519116611.3,1944062389.6988587,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB023,179.1,42.21492627021869,189.0,1,0.0,1.0,0,0.0,0,0.0,0,0.0,4042806629.9,1490466548.344027,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
