name,duration,duration_stdev,duration_median,num_warnings,num_warnings_stdev,num_warnings_median,context_switches,context_switches_stdev,migrations,migrations_stdev,page_faults,page_faults_stdev,instructions,instructions_stdev,branches,branches_stdev,branch_misses,branch_misses_stdev,branch_miss_rate,branch_miss_rate_stdev,l1_loads,l1_loads_stdev,l1_load_misses,l1_load_misses_stdev,l1_miss_rate,l1_miss_rate_stdev,llc_loads,llc_loads_stdev,llc_load_misses,llc_load_misses_stdev,llc_miss_rate,llc_miss_rate_stdev
OmpSCR-fft,462.3,48.08506493068045,454.0,126.66,11.087058092337081,127.5,0,0.0,0,0.0,0,0.0,19037320126.72,2263975784.0204444,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
OmpSCR-fft6,812.5,82.24608420676901,810.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,157347288138.68,4506426308.593603,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB001,106.02,30.261776253895217,99.5,0.08,0.27404751561786966,0.0,0,0.0,0,0.0,0,0.0,1999681694.5,1028349338.479961,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB002,101.34,10.247169843225903,100.0,0.02,0.1414213562373095,0.0,0,0.0,0,0.0,0,0.0,1722715202,306062015.2005577,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB003,100.14,11.759511998759965,100.0,0.04,0.1979486637221574,0.0,0,0.0,0,0.0,0,0.0,1762204577.26,482419826.90531987,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB004,100.68,17.55160321766089,99.0,0.06,0.2398979374820952,0.0,0,0.0,0,0.0,0,0.0,1764775066.6,532933838.6358656,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB005,103.32,15.364204356562174,102.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1715476234.48,422758242.54181933,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB006,103.8,12.355284748822658,102.5,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1668118599.18,343007333.40127957,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB007,104.58,13.84622544896888,102.5,0.06,0.2398979374820952,0.0,0,0.0,0,0.0,0,0.0,1844285458.76,434798915.13228863,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB008,97.9,9.167934358848958,99.5,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1670012911.38,328256857.8120073,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB009,118.02,29.917908090135512,109.5,0.52,0.5046720495044484,1.0,0,0.0,0,0.0,0,0.0,2451213337.08,1169208142.8820553,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB010,130.62,34.534153458598645,127.5,0.58,0.4985693819032899,1.0,0,0.0,0,0.0,0,0.0,2845348154.06,1189861724.0233963,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB011,129.46,32.7290733889299,130.0,0.68,0.551065757771026,1.0,0,0.0,0,0.0,0,0.0,2834564308.52,1233554412.5770376,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB012,125.52,26.80941047087605,124.5,0.74,0.6642473107178669,1.0,0,0.0,0,0.0,0,0.0,2702515033.66,985327666.3370984,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB013,105.48,12.628506787164877,102.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1866396653.54,390884622.45723647,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
