name,duration,duration_stdev,num_warnings,num_warnings_stdev,context_switches,context_switches_stdev,migrations,migrations_stdev,page_faults,page_faults_stdev,instructions,instructions_stdev,branches,branches_stdev,branch_misses,branch_misses_stdev,branch_miss_rate,branch_miss_rate_stdev,l1_loads,l1_loads_stdev,l1_load_misses,l1_load_misses_stdev,l1_miss_rate,l1_miss_rate_stdev,llc_loads,llc_loads_stdev,llc_load_misses,llc_load_misses_stdev,llc_miss_rate,llc_miss_rate_stdev
OmpSCR-fft,183.6,43.2440105037038,0,0.0,0,0.0,0,0.0,0,0.0,2503435401.9,2181353221.759479,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
OmpSCR-fft6,1020,113.34999877469,0,0.0,0,0.0,0,0.0,0,0.0,190213301023.4,6023515939.229763,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB122,157.6,19.43193248238579,0,0.0,0,0.0,0,0.0,0,0.0,1099673666.3,232749728.49820322,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB123,192.5,49.74434641243163,0,0.0,0,0.0,0,0.0,0,0.0,2528660231.6,616928054.8810313,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB150,141.2,20.164875953554045,0,0.0,0,0.0,0,0.0,0,0.0,959781594,226592156.8036272,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB152,133.8,21.482809665197685,0,0.0,0,0.0,0,0.0,0,0.0,1115786153,684129518.6547298,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB154,53.1,4.886489310105751,0,0.0,0,0.0,0,0.0,0,0.0,55656260.6,118976.13908137678,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB155,145.1,29.957191679684087,0,0.0,0,0.0,0,0.0,0,0.0,1126993617.1,394280747.71130335,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB177,247.5,154.79753802233992,0,0.0,0,0.0,0,0.0,0,0.0,6015128832.9,4271682564.841986,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_017,46.4,2.3190036174568114,0,0.0,0,0.0,0,0.0,0,0.0,55343163.6,73647.59973941973,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_018,140,19.1253177170414,0,0.0,0,0.0,0,0.0,0,0.0,1055195745.2,502750440.9119559,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_019,131.2,17.611864687697828,0,0.0,0,0.0,0,0.0,0,0.0,889919052.3,252115980.8131039,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_020,51,3.5276684147527875,0,0.0,0,0.0,0,0.0,0,0.0,60292553.4,80740.52706072982,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
iris,46.9,10.754327294422257,0,0.0,0,0.0,0,0.0,0,0.0,134808505,3265409.705306246,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
dc.S.x,410.6,27.66144529043187,0,0.0,0,0.0,0,0.0,0,0.0,2940615115,374231471.49817944,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
is.W.x,246.7,46.92559121749145,0,0.0,0,0.0,0,0.0,0,0.0,19314388633.4,2016334054.7302709,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
miniFE,448.4,44.09383932780935,0,0.0,0,0.0,0,0.0,0,0.0,6001167355.8,2322165376.597539,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
miniAMR,4.8,5.3499740393970345,0,0.0,0,0.0,0,0.0,0,0.0,1058194.2,1394.0085923535607,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
HPCCG_64_64_64,1597.3,210.46775947345895,0,0.0,0,0.0,0,0.0,0,0.0,215528045669,12221984893.906132,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
kripke_groups_8_niter_1,850.4,67.46884054468732,0,0.0,0,0.0,0,0.0,0,0.0,56518896900.6,4736121444.035973,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
lulesh_size_3,4941.6,288.9456696335835,0,0.0,0,0.0,0,0.0,0,0.0,267571196105.2,27782130150.111073,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
xsbench_small,42.4,20.716069983362086,0,0.0,0,0.0,0,0.0,0,0.0,44946775.5,21445.050867792834,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
rsbench_small,30270.9,1957.0111820494708,0,0.0,0,0.0,0,0.0,0,0.0,2324386045988.1,2732311354.299024,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
quicksilver_N_1,30660,3030.2083903403222,0,0.0,0,0.0,0,0.0,0,0.0,760167543837.4,26216470666.733353,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
CoMD_N_1,2805.8,114.98579622428734,0,0.0,0,0.0,0,0.0,0,0.0,151796724761.6,14212751030.229216,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
AMG,9.1,14.340695783523042,0,0.0,0,0.0,0,0.0,0,0.0,1054114.1,681.2864383731054,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
graphchi_pagerank_facebook,31220.8,30611.658580786938,0,0.0,0,0.0,0,0.0,0,0.0,4617181071022.2,4807843661589.018,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
graphicsmagick_gaussian_1_8_threads,33,15.267976654131717,0,0.0,0,0.0,0,0.0,0,0.0,48324917.7,3445.8605456402324,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
graphicsmagick_gaussian_1_32_threads,30.3,0.6749485577105528,0,0.0,0,0.0,0,0.0,0,0.0,48405872.4,2951.9394453289333,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
graphicsmagick_gaussian_1_128_threads,30.7,0.6749485577105528,0,0.0,0,0.0,0,0.0,0,0.0,48726635.4,4539.412277181069,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
