name,duration,duration_stdev,num_warnings,num_warnings_stdev,context_switches,context_switches_stdev,migrations,migrations_stdev,page_faults,page_faults_stdev,instructions,instructions_stdev,branches,branches_stdev,branch_misses,branch_misses_stdev,branch_miss_rate,branch_miss_rate_stdev,l1_loads,l1_loads_stdev,l1_load_misses,l1_load_misses_stdev,l1_miss_rate,l1_miss_rate_stdev,llc_loads,llc_loads_stdev,llc_load_misses,llc_load_misses_stdev,llc_miss_rate,llc_miss_rate_stdev
OmpSCR-fft,155,24.1522945769824,0,0.0,0,0.0,0,0.0,0,0.0,1585674875.1,471240383.79787946,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
OmpSCR-fft6,674.9,51.58046572535425,0,0.0,0,0.0,0,0.0,0,0.0,101145055872.7,2882709974.0165,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB122,140.3,16.028100324118267,0,0.0,0,0.0,0,0.0,0,0.0,1194108835.7,383714572.93737525,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB123,198.8,19.909796583591707,0,0.0,0,0.0,0,0.0,0,0.0,2390312892.7,779282316.4418184,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB150,132.6,19.13809464567115,0,0.0,0,0.0,0,0.0,0,0.0,1088386413.6,384356986.3137347,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB152,133.1,28.819168004028924,0,0.0,0,0.0,0,0.0,0,0.0,1087096403.8,630135084.796057,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB154,46.1,1.8529256146249728,0,0.0,0,0.0,0,0.0,0,0.0,47426200.9,47795.46243328033,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB155,139.5,32.53459696999488,0,0.0,0,0.0,0,0.0,0,0.0,902832626.9,439418977.3335187,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB177,250.6,71.48612919068053,0,0.0,0,0.0,0,0.0,0,0.0,6901271428.4,1932328613.287171,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_017,46.4,1.3498971154211057,0,0.0,0,0.0,0,0.0,0,0.0,47191943,33038.514181683975,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
